ID,Superclass,Class,Material,Colour,Status,Dimension [mm]
X001,Quartzite,Quartzite conglomerate,Quartzite,Beige/brown/black/red,New,360 x 4 x 220
X002,Quartzite,Quartzite conglomerate,Quartzite,Beige/brown/black,New,360 x 4 x 220
X003,Quartzite,Quartzite conglomerate,Quartzite,Beige/brown/black/red,New,360 x 4 x 220
S001,Stone,Stone,Sandstone,Beige,Weathered,215 x 35 x 105
S002,Stone,Stone,Carboniferous coral limestone,Grey,Weathered,210 x 19 x 90
S003,Stone,Stone,Sandstone,Ochre,Weathered,70 x 55 x 25
S004,Stone,Stone,Limestone,Beige,Weathered,70 x 55 x 25
S005,Stone,Stone,Sandstone,Light grey,Weathered,28 x 75 x 180
G001,Granite,Granite,Granite,White/black,"New, rough",142 x 56 x 52
G002,Granite,Granite,Granite with cement,White/red,Weathered,101 x 95 x 88
G003,Granite,Granite,Granite with cement,White/black,Weathered,215 x 57 x 105
G004,Granite,Granite,Granite,White/red/black,"New, dusty",233 x 60 x 78
G005,Granite,Granite,Granite,Red/black,New,125 x 50 x 111
A001,Asphalt,Road asphalt,Asphalt with stone aggregate,Black/grey,Weathered,190 x 83 x 68
A002,Asphalt,Road asphalt,Asphalt with stone aggregate,Black/grey,Weathered,60 x 100 x 200
A003,Asphalt,Road asphalt,Asphalt with stone aggregate,Black/grey,Weathered,60 x 90 x 150
A004,Asphalt,Road asphalt,Asphalt with stone aggregate,Black/grey,Weathered,120 x 50 x 170
A005,Asphalt,Road asphalt,Asphalt with stone aggregate,Black/grey,Weathered,55 x 75 x 130
A006,Asphalt,Road asphalt,Asphalt with stone aggregate,Black/grey,Weathered,30 x 145 x 180
A007,Asphalt,Asphalt roofing,Asphalt roofing shingle with slate chippings,Grey,New,165 x 3 x 170
A008,Asphalt,Road asphalt,Tarmac,Black,Weathered,140 x 25 x 140
A009,Asphalt,Road asphalt,Tarmac,Black,Weathered,60 x 21 x 85
A010,Asphalt,Road asphalt,Tarmac,Black,Weathered,65 x 21 x 80
C001,Concrete/Cement,Cement,Cement,Grey/ochre,Weathered,367 x 60 x 140
C002,Concrete/Cement,Concrete,Concrete with small aggregate,Grey/white,New,198 x 53 x 100
C003,Concrete/Cement,Cement,Cement,Grey,Weathered,268 x 44 x 148
C004,Concrete/Cement,Concrete,Concrete with small stone aggregate,Grey,Weathered,110 x 72 x 85
C005,Concrete/Cement,Cement,Cement,Grey,Weathered,80 x 45 x 115
C006,Concrete/Cement,Concrete,Concrete with small stone aggregate,White,Weathered,90 x 150 x 250
C008,Concrete/Cement,Concrete,Concrete,Grey,Weathered/rough,120 x 20 x 108
B001,Brick,Cement brick,Cement,Yellow,New,200 x 60 x 100
B002,Brick,Cement brick,Cement,Black/light grey,"New, sandy",200 x 58 x 98
B003,Brick,Cement brick,Cement,Black,New,195 x 52 x 98
B004,Brick,Ceramic brick,Ceramic with cement,Red,Weathered,62 x 35 x 52
B005,Brick,Cement brick,Cement,Red,Weathered,138 x 60 x 100
B006,Brick,Cement brick,Cement,Black,Sandy,200 x 60 x 100
B007,Brick,Cement brick,Cement,Light red,New,200 x 60 x 100
B008,Brick,Ceramic brick,Ceramic,Light red,New,212 x 63 x 100
B009,Brick,Cement brick,Cement,Red,Weathered,110 x 63 x 105
B010,Brick,Ceramic brick,Ceramic with paint,Red with beige and grey paint,Weathered,110 x 80 x 100
B011,Brick,Ceramic brick,Ceramic brick with cement,Red/grey,Weathered,230 x 63 x 100
B012,Brick,Ceramic brick,Ceramic brick with paint,Red with white paint,Weathered,112 x 70 x 107
B013,Brick,Ceramic brick,Ceramic brick,Red,Weathered,46 x 60 x 100
B014,Brick,Ceramic brick,Ceramic brick,Yellow/grey,Weathered,130 x 68 x 90
L001u,Shingle,Roofing shingle,Slate roofing shingle,Grey,Weathered,255 x 3 x 210
L001d,Shingle,Roofing shingle,Slate,Grey,Clear,255 x 3 x 210
L002,Shingle,Roofing shingle,Fibre cement,Black,Weathered,232 x 3 x 241
L003,Shingle,Roofing shingle,Fibre cement,Black,Weathered,230 x 3 x 207
R001,Tile,Roofing tile,Ceramic,Black,New,150 x 11 x 150
R002,Tile,Roofing tile,Ceramic,Brown,New,300 x 10 x 200
R003,Tile,Roofing tile,Cement,Rustic red,New,270 x 12 x 170
R004,Tile,Roofing tile,Ceramic,Burnt red,New,300 x 13 x 200
R005,Tile,Roofing tile,Cement,Rustic red/black shading,New/shiny,260 x 12 x 165
R006,Tile,Roofing tile,Cement,Slate grey,New,265 x 11 x 165
R007,Tile,Roofing tile,Ceramic,Black,New,410 x 15 x 320
R008,Tile,Roofing tile,Cement,Rustic red,New,260 x 12 x 165
R009,Tile,Roofing tile,Cement,Autumn red,New/rough,260 x 12 x 165
R010,Tile,Roofing tile,Ceramic,Red,Weathered,130 x 10 x 165
R012,Tile,Roofing tile,Ceramic,Red,Weathered,90 x 12 x 195
R013,Tile,Roofing tile,Ceramic,Red,Weathered,115 x 12 x 130
Z001,Metal,Metal,Aluminium plus zinc,Dull grey,New,390 x 1 x 295
Z002,Metal,Metal,"Aluminium, stucco",Shiny grey,New,380 x 1 x 295
Z003,Metal,Metal,Metal with paint,Dark green,New,102 x 1 x 150
Z004,Metal,Metal,Metal with paint,Copper patina,Weathered,192 x 1 x 150
Z005,Metal,Metal,Metal with paint,Slate grey,New,152 x 1 x 205
Z006,Metal,Metal,Aluminium,Grey,Weathered,220 x 1 x 230
Z007,Metal,Metal,Lead,Grey,Weathered,254 x 2 x 200
Z008,Metal,Metal,Iron,Black,Weathered,428 x 5 x 110
V001,PVC,PVC roofing sheet,PVC,Lead grey,New,146 x 1 x 204
V002,PVC,PVC roofing sheet,PVC,Light grey,New,146 x 1 x 204
V003,PVC,PVC roofing sheet,PVC,Copper,New/structured,146 x 1 x 204
V004,PVC,PVC roofing sheet,PVC,Azure blue,New,146 x 1 x 204
V005,PVC,PVC roofing sheet,PVC,Copper brown,New,146 x 1 x 204
V006,PVC,PVC roofing sheet,PVC,Copper patina,New,147 x 1 x 204
